ogc_fid,may_2022_crop_presence,jun_2022_crop_presence,jul_2022_crop_presence,aug_2022_crop_presence,sep_2022_crop_presence,oct_2022_crop_presence,nov_2022_crop_presence,dec_2022_crop_presence,jan_2023_crop_presence,feb_2023_crop_presence,mar_2023_crop_presence,apr_2023_crop_presence,label
106,0.859485272,0.889216535,0.9906593,0.999999646,0.999999877,0.99985763,0.719101725,0.150388657,0.996862571,0.975790872,0.999981589,0.999999993,weed
814,0.65474198,0.702287246,0.999741872,0.999999334,0.999997712,0.999996012,0.984450015,0.841516166,0.999797191,0.945467323,0.999878732,0.999997177,weed
743,0.898248329,0.698518729,0.999462766,0.999995021,0.999999331,0.999462766,0.97112751,0.378151139,0.999962974,0.992257252,0.999999331,0.94514992,weed
1192,0.963506143,0.678292426,0.999857308,0.999999424,0.999918044,0.999998506,0.999316771,0.999996126,0.999990819,0.999619123,0.999987819,0.999999366,weed
679,0.984536813,0.881307897,0.989008823,0.999997036,0.999999819,0.999998169,0.580035466,0.132292473,0.999730284,0.947496679,0.999999707,0.993473131,weed
909,0.957726011,0.995979122,0.999777086,0.999997056,0.999999978,0.999997888,0.9999584,0.999927159,0.99999984,0.999982779,0.999995583,0.999004558,weed
89,0.498613054,0.49501245,0.023970298,0.999561274,0.99939651,0.202037582,0.63556532,0.791163736,0.322290979,0.00842385,0.936341455,0.999924924,weed
915,0.897048871,0.805478667,0.990233094,0.99999524,0.99999948,0.999972082,0.999371516,0.797713777,0.999999386,0.999906901,0.996142704,0.999956317,weed
1120,0.882881126,0.51630898,0.998413257,0.999900574,0.999690199,0.999857738,0.882609647,0.993391529,0.999653479,0.998278455,0.998942836,0.999947633,weed
2,0.886281912,0.962766216,0.999745283,0.99999995,0.999999477,0.999996674,0.85604839,0.995462949,0.99999812,0.999048407,0.999813081,0.999999986,weed
938,0.736568649,0.648543847,0.996819501,0.99999835,0.999998258,0.99995291,0.816176104,0.564940357,0.999998646,0.999809828,0.999998893,0.999999897,weed
1667,0.737603289,0.568442212,0.999710101,0.999999639,0.999999733,0.99999911,0.963700891,0.99983675,0.999315076,0.764174198,0.551204077,0.999583008,weed
